Original Name,User-Friendly Name
reserve_a_tokens_staking_vesting_locked_cum,Reserve A Tokens Staking Vesting Locked Cum
reserve_a_tokens_staking_vesting_locked_remove,Reserve A Tokens Staking Vesting Locked Remove
reserve_a_tokens_staking_vesting_locked_rewards,Reserve A Tokens Staking Vesting Locked Rewards
reserve_a_tokens_liquidity_mining,Reserve A Tokens Liquidity Mining
reserve_a_tokens_liquidity_mining_cum,Reserve A Tokens Liquidity Mining Cum
reserve_a_tokens_liquidity_mining_remove,Reserve A Tokens Liquidity Mining Remove
reserve_a_tokens_liquidity_mining_rewards,Reserve A Tokens Liquidity Mining Rewards
reserve_a_tokens_transferred,Reserve A Tokens Transferred
reserve_a_tokens_transferred_cum,Reserve A Tokens Transferred Cum
reserve_a_tokens_burned,Reserve A Tokens Burned
reserve_a_tokens_burned_cum,Reserve A Tokens Burned Cum
reserve_a_selling_tokens,Reserve A Selling Tokens
reserve_a_utility_tokens,Reserve A Utility Tokens
reserve_a_holding_tokens,Reserve A Holding Tokens
reserve_a_selling_from_holding_tokens,Reserve A Selling From Holding Tokens
reserve_a_utility_from_holding_tokens,Reserve A Utility From Holding Tokens
reserve_a_holding_from_holding_tokens,Reserve A Holding From Holding Tokens
reserve_a_actions,Reserve A Actions
reserve_a_current_action,Reserve A Current Action
community_agents,Community Agents
community_a_name,Community A Name
community_a_type,Community A Type
community_a_usd_funds,Community A Usd Funds
community_a_tokens,Community A Tokens
community_a_tokens_vested,Community A Tokens Vested
community_a_tokens_vested_cum,Community A Tokens Vested Cum
community_a_tokens_airdropped,Community A Tokens Airdropped
community_a_tokens_airdropped_cum,Community A Tokens Airdropped Cum
